work_context,role_seat,region,design_tools,code_in_workflow,anticipated_investment,vibe_coding_ratio,built_own_tool,ai_trust,blockers,workflow_shift,role_outlook,workflow_satisfaction
Startup in-house (2–100),Designer (Individual contributor),Central Asia,"Figma, Figma Make, Nanobanana, Claude, Gemini, Perplexity, LottieFiles, Jira, Notion, Todoist, Google Meet, Loom, Zoom, Microsoft Teams, Framer, FigJam","Code isn't part of my workflow, I use AI or no-code to generate code","AI-generated coding, No-code tools (not AI), Canvas design tools",None,"No, but I want to",Exploration and brainstorming only,"Budget or procurement friction, Security or compliance policy, Engineering team constraints","Still in flux, changing often",About the same,7.0
Startup in-house (2–100),Design manager or director,North America,"Claude Code, Claude, Paper, Perplexity, Figma, Affinity Designer, Affinity Photo, Slack, NotebookLM, Miro, Notion, Keynote, Zoom",I use AI or no-code to generate code,"Canvas design tools, Agent workflows & automations",About half,"Yes, I build personal tools regularly",Working output I review before shipping,"AI output quality isn't reliable enough, Too many tools, unclear which to commit","Still in flux, changing often",Honestly not sure,3.0
"Enterprise in-house (1,000+)",Lead or principal,North America,"Figma Make, Figma, ChatGPT, LottieFiles, Asana, Jira, Microsoft Teams, Webflow, FigJam",Code isn't part of my workflow,"AI-generated coding, Design systems & tokens",None,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction, AI output quality isn't reliable enough","Added new tools, AI included",About the same,7.0
Startup in-house (2–100),Design manager or director,North America,"Claude Code, Cursor, Figma, ChatGPT, Claude, Gemini, Slack",I use AI or no-code to generate code,"AI-generated coding, Design systems & tokens, Agent workflows & automations",Nearly all of it,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Security or compliance policy, Budget or procurement friction",AI is now central — major shift,"Less secure, AI is changing what's expected of me",6.0
Startup in-house (2–100),Designer (Individual contributor),South Asia,"Nanobanana, Figma, Pencil.dev, Claude, Notion, Slack, Framer, FigJam",Code isn't part of my workflow,"AI-generated coding, Design systems & tokens, Video, motion, & 3D",None,"No, but I want to",Exploration and brainstorming only,"Engineering team constraints, AI output quality isn't reliable enough, Time to learn new tools","Added new tools, AI included",Honestly not sure,6.0
"Student, educator, or between roles",Designer (Individual contributor),South Asia,"Figma, Canva, Penpot, UX Pilot, Google Stitch, Figma Make, Claude Code, Adobe Firefly","I write production code, I use AI or no-code to generate code","Design systems & tokens, AI-generated coding",Occasionally,"No, but I want to",Exploration and brainstorming only,"Too many tools, unclear which to commit, Budget or procurement friction, Engineering team constraints","Added new tools, AI included","More valuable, my skills matter more than before",8.0
Startup in-house (2–100),Lead or principal,North America,"Claude Code, Cursor",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Agent workflows & automations",Most of it,"Yes, once or twice",First drafts I heavily edit,AI output quality isn't reliable enough,AI is now central — major shift,"Less secure, AI is changing what's expected of me",9.0
"Enterprise in-house (1,000+)",Design engineer,Southern Europe,"Claude Cowork, Hermes, Make",I write production code,AI-generated coding,Occasionally,"Yes, once or twice",Exploration and brainstorming only,"Time to learn new tools, Budget or procurement friction",AI is now central — major shift,"More valuable, my skills matter more than before",10.0
"Student, educator, or between roles",Designer (Individual contributor),Southern Europe,"Claude Code, Cursor, Figma Make, Figma, Claude, Gemini, Google Meet, Slack, Perplexity, Pencil.dev",I use AI or no-code to generate code,"Design systems & tokens, AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",6.0
Agency or consulting,Designer (Individual contributor),South Asia,"Claude Cowork, Lovable, Claude Code, Google Stitch, Nanobanana, Midjourney, Figma, Canva, ChatGPT, Claude, Gemini, Google Slides, Keynote, Google Meet, Framer, FigJam, Miro","I use AI or no-code to generate code, Code isn't part of my workflow","AI-generated coding, Design systems & tokens, No-code tools (not AI)",None,"Yes, once or twice",First drafts I heavily edit,"AI output quality isn't reliable enough, Too many tools, unclear which to commit, Time to learn new tools","Added new tools, AI included","More valuable, my skills matter more than before",3.0
Mid-size in-house (101–999),Designer (Individual contributor),Eastern Europe,"Figma, Figma Make, ChatGPT, Claude, Claude Code","Code isn't part of my workflow, I use AI or no-code to generate code","No-code tools (not AI), Canvas design tools",None,"Yes, once or twice",Exploration and brainstorming only,"Too many tools, unclear which to commit, AI output quality isn't reliable enough, Security or compliance policy","Added new tools, AI included","More valuable, my skills matter more than before",8.0
Independent or freelance,Designer (Individual contributor),Western Europe,,"I use AI or no-code to generate code, I review or inspect code but don't write it, I hand-code prototypes but not production","AI-generated coding, Simplifying my stack, Video, motion, & 3D",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, AI output quality isn't reliable enough, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",9.0
Startup in-house (2–100),Designer (Individual contributor),Northern Europe,"Claude Code, Claude, ChatGPT, Cursor, Figma",I use AI or no-code to generate code,AI-generated coding,About half,"Yes, once or twice",First drafts I heavily edit,"Time to learn new tools, Too many tools, unclear which to commit","Added new tools, AI included",Honestly not sure,6.0
Mid-size in-house (101–999),Lead or principal,Northern Europe,"Lovable, Figma Make, Claude Code, NotebookLM, Figma, Gemini, Jira, Slack","I use AI or no-code to generate code, I review or inspect code but don't write it","AI-generated coding, Agent workflows & automations",Occasionally,"Yes, once or twice",Working output I review before shipping,"Time to learn new tools, Security or compliance policy, Too many tools, unclear which to commit",AI is now central — major shift,Honestly not sure,3.0
"Enterprise in-house (1,000+)",Design manager or director,North America,"Figma, Figma Make, Claude, ChatGPT, Perplexity Computer, Base44, Lovable, Replit, Google Stitch, v0 (Vercel)",Code isn't part of my workflow,Simplifying my stack,None,"Yes, once or twice",Exploration and brainstorming only,"Security or compliance policy, Engineering team constraints, AI output quality isn't reliable enough",Consolidated into fewer tools,About the same,8.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Code, Claude, v0 (Vercel), Figma, Jitter, Linear, Notion, Microsoft Teams, Framer",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations",Nearly all of it,"Yes, I build personal tools regularly",First drafts I heavily edit,"Budget or procurement friction, Too many tools, unclear which to commit, AI output quality isn't reliable enough","Added new tools, AI included",Honestly not sure,4.0
"Enterprise in-house (1,000+)",Designer (Individual contributor),North America,"Claude Cowork, Claude Code, Figma, ChatGPT, Gemini, Jira, PowerPoint, Slack, Microsoft Teams, Dscout, Framer, FigJam",I use AI or no-code to generate code,"AI-generated coding, Canvas design tools, Agent workflows & automations",Nearly all of it,"Yes, once or twice",Working output I review before shipping,"Security or compliance policy, Too many tools, unclear which to commit",AI is now central — major shift,Honestly not sure,6.0
Agency or consulting,Designer (Individual contributor),Western Europe,"Figma, ChatGPT, Claude, Slack, Microsoft Teams, Jira, Jitter, Storybook, Figma Slides",Code isn't part of my workflow,"Video, motion, & 3D, AI-generated coding",None,"No, but I want to",Working output I review before shipping,"AI output quality isn't reliable enough, Time to learn new tools",Mostly the same,Honestly not sure,4.0
Startup in-house (2–100),Designer (Individual contributor),North America,"Claude Cowork, Claude Code, Cursor, Figma Make, Figma, Claude, Notion, Jira, FigJam, Slack, Zoom",I use AI or no-code to generate code,"AI-generated coding, Agent workflows & automations, Design systems & tokens",Nearly all of it,"No, but I want to",First drafts I heavily edit,"Time to learn new tools, AI output quality isn't reliable enough, Too many tools, unclear which to commit",AI is now central — major shift,"Less secure, AI is changing what's expected of me",7.0
Independent or freelance,Designer (Individual contributor),South Asia,"Claude Code, Figma, Figma Make, Google Antigravity","I hand-code prototypes but not production, I review or inspect code but don't write it, I use AI or no-code to generate code","AI-generated coding, Agent workflows & automations, Design systems & tokens",About half,"Yes, once or twice",Ships with minor tweaks,"Budget or procurement friction, Time to learn new tools",AI is now central — major shift,"More valuable, my skills matter more than before",8.0
